Year,Country,PI,Gov,BC,RPE,PR,CL,Urban,Fertility
2000,Algeria,1975.0,-3.0,0.8,1.2556,6.0,6.0,57.5492,2.965
2005,Algeria,1000.0,-2.0,0.0,1.1629999999999998,6.0,6.0,61.4954,2.5044
2010,Algeria,523.0,2.0,0.0,1.3142,6.0,6.0,65.33879999999999,2.6804
2000,Angola,1750.0,-38.8,6.6,1.0574,6.0,6.0,46.529399999999995,6.7946
2005,Angola,0.0,-3.6,5.4,1.2586,6.0,6.0,52.4588,6.5678
2010,Angola,1.0,-2.0,5.0,1.3199999999999998,6.0,6.0,57.520799999999994,6.3664000000000005
2000,Argentina,1537.4,7.2,0.0,1.4282,2.2,2.2,88.561,2.7312
2005,Argentina,200.0,8.0,0.0,1.3854,2.2,2.2,89.5054,2.4992
2010,Argentina,84.33333333333333,8.0,0.0,1.6707999999999998,2.0,2.0,90.36359999999999,2.3762
2000,Armenia,87.4,-0.2,5.0,1.0437999999999998,4.4,4.4,65.503,1.8834
2005,Armenia,50.0,5.0,0.2,1.0714000000000001,4.2,4.2,64.2924,1.5493999999999999
2010,Armenia,0.3333333333333333,5.0,1.2,1.1416,5.4,5.4,63.739200000000004,1.4598
2000,Australia,0.0,10.0,0.0,0.9077999999999999,1.0,1.0,84.6348,1.7826
2005,Australia,62.4,10.0,0.0,0.8960000000000001,1.0,1.0,84.2726,1.7533999999999998
2010,Australia,354.0,10.0,0.0,0.8038000000000001,1.0,1.0,84.822,1.9258
2000,Austria,362.4,10.0,0.0,1.3687999999999998,1.0,1.0,61.044000000000004,1.394
2005,Austria,50.0,10.0,0.0,1.3024,1.0,1.0,59.6542,1.376
2010,Austria,0.0,10.0,0.0,1.203,1.0,1.0,58.248599999999996,1.402
2000,Azerbaijan,25.0,-6.4,5.6,0.7864,6.0,6.0,51.6306,2.098
2005,Azerbaijan,162.4,-7.0,4.2,0.567,6.0,6.0,51.787400000000005,1.9106999999999998
2010,Azerbaijan,231.0,-7.0,3.4,0.4894,6.0,6.0,52.78959999999999,1.932
